id_partido,equipo,numero,nombre
BRN,15,ABDULREDHA Mohamed,25
BRN,18,FADHUL Ahmed,25
BRN,19,MERZA Mohamed,25
BRN,21,A.HUSAIN Mohamed,25
BRN,25,ALSHUWAIKH Qasim,25
BRN,51,ALMAQABI Ahmed,25
BRN,66,MAHFOODH Komail,25
BRN,7,MERZA Ali,25
BRN,77,ALSALATNA Jasim,25
BRN,88,ALFARDAN Hasan,25
BRN,89,SAAD Mahdi,25
BRN,9,ALSAMAHIJI Hasan,25
BRN,93,AHMED Mohamed,25
BRN,99,ALSAYYAD Husain,25
COD,1,SOBTACDOUG TIETCHOP Berlin,26
COD,10,NGOULOU QUENTIN Andre,26
COD,11,NGANDO OUEDRAOGO Adam,26
COD,12,LUCAU HERDEIRO Junior,26
COD,14,EBANGA NOAH Fabrice,26
COD,15,MVUMBI THIERRY Gauthier,26
COD,16,JACOBY KOALY Jordy,26
COD,17,KIANGEBENI KAWOLA Johan,26
COD,18,EYANGA SIMOKETO Baudric,26
COD,22,BEAUREGARD MBAKA Frederic,26
COD,4,YAHOZA MOGA Christian,26
COD,68,TCHITOMBI Aurelien,26
COD,75,CORNEIL OLIVIER Steeven,26
COD,8,MATHEY JOHN Daniel,26
COD,83,KINZONZOLO MIATUDILA Jacques,26
COD,9,BOUITY GENESE Zephyrin,26
DEN,1,JACOBSEN Niklas Landin,26
DEN,12,NIELSEN Emil,26
DEN,14,ZACHARIASSEN Anders,26
DEN,15,JENSEN Magnus Saugstrup,26
DEN,17,SVAN Lasse J.,26
